Ampah - Teweh ; -0.935414 ; 114.901123 ; -0.929022 ; 114.889761  
Amurang ; 1.25533 ; 124.63187 ; 1.268459 ; 124.646877  
Barabai ; -2.581936 ; 115.390569 ; -2.587703 ; 115.378492  
Barru ; -4.40562 ; 119.61877 ; -4.397698 ; 119.616889  
Batulicin ; -3.455801 ; 115.99749 ; -3.465368 ; 115.986022  
Belopa ; -3.36284 ; 120.36455 ; -3.370643 ; 120.37382  
Bitung ; 1.4711 ; 125.15311 ; 1.471327 ; 125.138157  
Bontang-Sangata ; 0.505968 ; 117.532558 ; 0.50774 ; 117.523458  
Bulukumba ; -5.25188 ; 120.15831 ; -5.26619 ; 120.152728  
Gowa ; -5.20514 ; 119.46374 ; -5.191109 ; 119.474246  
Jeneponto ; -5.70104 ; 119.72147 ; -5.696593 ; 119.730143  
Ketapang ; -1.5698 ; 110.5215 ; -1.555779 ; 110.510942  
Kolaka ; -4.07671 ; 121.63507 ; -4.072493 ; 121.620896  
Kotamobagu ; 0.72119 ; 124.30148 ; 0.735419 ; 124.296587  
Mangkutana ; -2.52535 ; 120.82405 ; -2.511832 ; 120.812079  
Marisa ; 0.48671 ; 122.07034 ; 0.493202 ; 122.056351  
Pangkalanbun ; -2.684718 ; 111.631067 ; -2.67514 ; 111.64356  
Pangkep ; -4.81645 ; 119.54193 ; -4.807905 ; 119.553742  
Parigi ; -0.81564 ; 120.17009 ; -0.823342 ; 120.162499  
Penajam-Grogot ; -1.905754 ; 116.197743 ; -1.900992 ; 116.207652  
Polman ; -3.42045 ; 119.31694 ; -3.413015 ; 119.319653  
Rantau ; -2.934015 ; 115.14198 ; -2.946028 ; 115.132973  
Sengkang ; -4.14356 ; 120.03914 ; -4.157093 ; 120.030231  
Singkawang ; 0.906 ; 108.9872 ; 0.89378 ; 108.981302  
Sinjai ; -5.12906 ; 120.25357 ; -5.124399 ; 120.242927  
Sintang ; -0.1378 ; 112.8106 ; -0.140716 ; 112.81407  
Takalar ; -5.3974 ; 119.43746 ; -5.400789 ; 119.432144  
Tomohon ; 1.29712 ; 124.8362 ; 1.300849 ; 124.832547  
Toraja ; -3.0292 ; 119.8819 ; -3.0192 ; 119.881449  
Unaaha ; -4.03681 ; 122.48113 ; -4.021421 ; 122.491653  
Denpasar ; -8.63955 ; 115.20248 ; -8.635006 ; 115.217224  
Kendari ; -3.96513 ; 122.50127 ; -3.954993 ; 122.513137  
Lombok ; -8.59373 ; 116.15876 ; -8.58893 ; 116.144075  
Makassar ; -5.10404 ; 119.46298 ; -5.103776 ; 119.462152  
Manado ; 1.49518 ; 124.86597 ; 1.50355 ; 124.86678  
Palu ; -0.8232 ; 119.88515 ; -0.823166 ; 119.895363  
Balikpapan ; -1.249963 ; 116.868785 ; -1.256529 ; 116.855429  
Banjarmasin ; -3.330249 ; 114.595582 ; -3.333273 ; 114.604053  
Berau ; 2.138839 ; 117.492022 ; 2.132262 ; 117.483176  
Bontang ; 0.121456 ; 117.484766 ; 0.11907 ; 117.474525  
Palangkaraya ; -2.218321 ; 113.900455 ; -2.212149 ; 113.889777  
Pontianak ; -0.03109 ; 109.3425 ; -0.021867 ; 109.347001  
Samarinda ; -0.502298 ; 117.161801 ; -0.487934 ; 117.147694  
Sampit ; -2.538901 ; 112.956601 ; -2.526524 ; 112.958724  
Tarakan ; 3.34307 ; 117.576925 ; 3.34993 ; 117.564369  
Bau-Bau ; -5.48159 ; 122.58 ; -5.494989 ; 122.570014  
BIMA ; -8.37759 ; 118.72564 ; -8.371617 ; 118.738155  
Bone ; -4.55181 ; 120.3264 ; -4.543187 ; 120.320774  
Gorontalo ; 0.62005 ; 123.02368 ; 0.605339 ; 123.015842  
Kupang ; -10.18017 ; 123.54942 ; -10.176384 ; 123.553362  
Luwuk ; -0.96424 ; 122.78153 ; -0.953139 ; 122.768772  
Mamuju ; -2.68747 ; 118.89864 ; -2.701762 ; 118.889982  
Maumere ; -8.63907 ; 122.27671 ; -8.645095 ; 122.267632  
Palopo ; -3.00675 ; 120.20264 ; -3.015202 ; 120.197658  
Pare-Pare ; -3.97929 ; 119.65472 ; -3.96963 ; 119.662874  
Poso ; -1.38101 ; 120.76128 ; -1.388932 ; 120.749314  
Sumbawa ; -8.47856 ; 117.40717 ; -8.480772 ; 117.420866  
Karawang (SDC) ; -6.3054 ; 107.3051 ; -6.299181 ; 107.304301  
Surabaya ; -7.2575 ; 112.7521 ; -7.26735 ; 112.739759  
