Customer ID,Latitude,Longitude,Nearest DC ID,Distance to DC (km),Avg Monthly Demand (box)
CUST000001,4.1453438,117.9126339,DC045,96.23,47.836860335096915
CUST000002,4.1453438,117.9126339,DC045,96.23,10.774180617283942
CUST000003,4.144048,117.9125,DC045,96.1,5.7333333333333325
CUST000004,4.144048,117.9125,DC045,96.1,1.541668888888889
CUST000005,4.1432693,117.6545933,DC045,88.9,12.51523333333333
CUST000006,4.1432693,117.6545933,DC045,88.9,2.1334077777777773
CUST000007,4.1427504,117.6476344,DC045,88.78,0.06666666666666667
CUST000008,4.1427504,117.6476344,DC045,88.78,0.06666666666666667
CUST000009,4.141851,117.6502682,DC045,88.7,25.930742539682477
CUST000010,4.141851,117.6502682,DC045,88.7,4.0102755555555545
CUST000011,4.141791,117.645692,DC045,88.65,24.49999999999999
CUST000012,4.141791,117.645692,DC045,88.65,8.333333333333327
CUST000013,4.1415644,117.6502682,DC045,88.67,100.41813777777777
CUST000014,4.1415644,117.6502682,DC045,88.67,22.626666666666665
CUST000015,4.1413193,117.6491681,DC045,88.63,8.808315555555556
CUST000016,4.1413193,117.6491681,DC045,88.63,3.1666666666666656
CUST000017,4.141019,117.6495348,DC045,88.6,0.6666666666666666
CUST000018,4.141019,117.6495348,DC045,88.6,8.905
CUST000019,4.140867,117.648149,DC045,88.57,32.583531851851845
CUST000020,4.140867,117.648149,DC045,88.57,7.571318888888887
CUST000021,4.137306,117.6482713,DC045,88.18,46.2849837037037
CUST000022,4.137306,117.6482713,DC045,88.18,5.2325029629629585
CUST000023,4.135641,117.91748,DC045,95.46,1.6222222222222216
CUST000024,3.861551,115.207665,DC045,269.4,0.06699724867723124
CUST000025,3.861208,115.209026,DC045,269.24,0.0665239153438979
CUST000026,3.861208,115.209026,DC045,269.24,0.06429724867723124
CUST000027,3.80693108,114.8165318,DC045,310.95,0.06271058201056458
CUST000028,3.79919169,114.8211668,DC045,310.3,0.0638239153438979
CUST000029,3.76941681,114.8195588,DC045,309.97,0.0660439153438979
CUST000030,3.76901836,114.8197842,DC045,309.94,0.0682639153438979
CUST000031,3.760263333,116.7449417,DC045,103.31,2.66744
CUST000032,3.75941421,114.8318949,DC045,308.45,0.06493724867723125
CUST000033,3.758978333,116.74693,DC045,103.05,3.5375
CUST000034,3.60888634,115.9467743,DC045,183.51,0.16249492063491341
CUST000035,3.6072027,115.928506,DC045,185.48,0.26875973544972614
CUST000036,3.6072027,115.928506,DC045,185.48,0.17725121693120757
CUST000037,3.6068817,115.9296148,DC045,185.35,0.17552825396824462
CUST000038,3.60651153,115.9202121,DC045,186.38,0.209943624338615
CUST000039,3.6059810900000002,115.9208933,DC045,186.29,0.22028317460316515
CUST000040,3.6037228,115.9296148,DC045,185.3,0.14276269841268657
CUST000041,3.602484,115.9325714,DC045,184.95,0.39399021164019754
CUST000042,3.5934342,116.6281321,DC045,109.0,32.490675555555555
CUST000043,3.5934342,116.6281321,DC045,109.0,3.5305555555555554
CUST000044,3.5933123,116.6278872,DC045,109.02,15.647899999999998
CUST000045,3.5933123,116.6278872,DC045,109.02,1.733333333333333
CUST000046,3.5933122,116.6278877,DC045,109.02,25.392864444444445
CUST000047,3.5932732,116.6278536,DC045,109.03,19.359447777777778
CUST000048,3.5930269,116.6276962,DC045,109.04,7.573793333333333
CUST000049,3.5923768,116.6304936,DC045,108.72,29.07473777777777
CUST000050,3.5923768,116.6304936,DC045,108.72,4.56434
CUST000051,3.5913053,116.6275134,DC045,109.01,33.114283703703684
CUST000052,3.5913053,116.6275134,DC045,109.01,6.319148888888885
CUST000053,3.5910198,116.6275134,DC045,109.0,6.118638518518519
CUST000054,3.5910198,116.6275134,DC045,109.0,2.151481111111111
CUST000055,3.5892936,116.6247091,DC045,109.25,16.20834
CUST000056,3.5892936,116.6247091,DC045,109.25,3.66508
CUST000057,3.5881665,116.6230271,DC045,109.4,23.206537777777765
CUST000058,3.5881665,116.6230271,DC045,109.4,7.052499999999997
CUST000059,3.5879,114.7165,DC045,318.99,0.2663480687829784
CUST000060,3.5824,114.7208,DC045,318.47,0.09762002645500262
CUST000061,3.575615,116.609024,DC045,110.58,43.98417111111105
CUST000062,3.575615,116.609024,DC045,110.58,1.5361133333333332
CUST000063,3.572449,116.605271,DC045,110.91,42.043458518518506
CUST000064,3.572449,116.605271,DC045,110.91,4.320231111111111
CUST000065,3.568433333,116.6074317,DC045,110.57,1.4491077777777777
CUST000066,3.559036667,116.618325,DC045,109.16,1.4785966666666657
CUST000067,3.55863932,115.9603604,DC045,181.21,0.16646317460316515
CUST000068,3.551518333,116.6105267,DC045,109.83,3.946174444444444
CUST000069,3.5449101,116.6119478,DC045,109.53,5.8696777777777775
CUST000070,3.52934913,115.9559419,DC045,181.3,0.3075965079364889
CUST000071,3.5291845,115.9551642,DC045,181.38,0.18469788359787426
CUST000072,3.524131,114.80924,DC045,308.2,0.04331714285713351
CUST000073,3.5024668,114.8413084,DC045,304.5,0.07438317460316053
CUST000074,3.49731911,114.7950007,DC045,309.6,0.04443695767194833
CUST000075,3.49557438,114.7987284,DC045,309.18,0.05965917989416805
CUST000076,3.4925776,114.8282466,DC045,305.89,0.24298288359787887
CUST000077,3.48197897,115.9606332,DC045,180.26,0.0673649206349159
CUST000078,3.47837639,114.8098503,DC045,307.85,0.09002917989417267
CUST000079,3.47629221,115.9518473,DC045,181.18,0.09037703703703705
